TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KEMATIAN;JUMLAH KELAHIRAN
2013;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;9302;5.77;4981;1379;1219;2598;1111;1023;2134;1178;1081;2259;1380;1354;2734;1674;1475;3149;1442;1248;2690;1286;1048;4007;3630;66;7;104;378
2013;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;11025;0.8;43826;1528;1440;2968;1380;1229;2609;1387;1380;2767;1721;1579;3300;1936;1707;3643;1651;1460;3111;1505;1371;5025;4716;139;11;130;441
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;8854;1.67;18012;1183;1111;1194;1179;1364;1269;1550;1510;1413;1425;1292;1260;1036;974;766;763;677;609;418;381;416;417;53;5;141;417
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;3856;0.67;17304;474;404;419;430;459;414;514;498;444;466;462;458;486;480;446;374;333;347;247;228;322;389;74;6;89;111
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;7923;3.17;8400;1121;1028;1131;1073;1122;1141;1314;1347;1242;1187;1062;1063;984;917;731;841;596;476;377;250;347;359;65;5;109;395
2013;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;7755;3.3;7351;983;873;954;954;1005;1024;1197;1158;1119;1098;1068;1020;951;905;719;713;566;469;288;250;350;403;66;5;86;372
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;7596;1.89;14133;923;893;1145;945;1159;1231;1252;1548;1678;1341;1200;1042;738;860;769;582;443;389;228;228;286;271;80;10;76;406
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;15242;2.55;19983;1968;1902;1916;1890;2135;2261;2624;2702;2480;2417;2223;2125;1760;1657;1284;1295;1019;1041;793;632;775;771;86;6;214;811
2013;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;8552;1.58;16018;965;957;963;938;811;936;935;1087;1124;1138;1088;1198;1200;1104;1084;883;841;593;559;358;920;572;124;9;121;297
2013;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;14231;1.26;35493;1694;1580;1676;1645;1929;1843;2169;2210;2105;2064;1952;1824;1727;1629;1328;1325;974;1048;628;697;798;1064;190;16;415;587
