TAHUN;NAMA PROVINSI;NAMA KABUPATEN/KOTA;NAMA KECAMATAN;NAMA KELURAHAN;JUMLAH KK;LUAS WILAYAH (KM2);KEPADATAN (JIWA/KM2);15-19 Laki-Laki;15-19 Perempuan;20-24 Laki-Laki;20-24 Perempuan;25-29 Laki-Laki;25-29 Perempuan;30-34 Laki-Laki;30-34 Perempuan;35-39 Laki-Laki;35-39 Perempuan;40-44 Laki-Laki;40-44 Perempuan;45-49 Laki-Laki;45-49 Perempuan;50-54 Laki-Laki;50-54 Perempuan;55-59 Laki-Laki;55-59 Perempuan;60-64 Laki-Laki;60-64 Perempuan;>65 Laki-Laki;>65 Perempuan;JUMLAH RT;JUMLAH RW;JUMLAH KELAHIRAN;JUMLAH KEMATIAN
2019;PROVINSI DKI JAKARTA;JAKARTA UTARA;PADEMANGAN;ANCOL;10522;3.7728;7946;1071;989;1161;1033;1107;1101;1367;1322;1551;1457;1396;1307;1197;1038;1017;907;749;704;481;420;652;607;73;7;374;109
2019;PROVINSI DKI JAKARTA;JAKARTA BARAT;TAMBORA;ANGKE;12108;0.7779;46735;1349;1278;1307;1238;1361;1385;1626;1574;1837;1686;1623;1463;1409;1349;1246;1079;997;911;720;717;926;1111;140;11;363;186
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BALE KAMBANG;11273;1.6745;21360;1406;1312;1344;1353;1362;1474;1473;1458;1649;1695;1584;1504;1353;1353;1092;1027;777;822;589;606;711;707;53;5;576;151
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BALI MESTER;4279;0.6737;17356;432;395;458;431;412;429;411;426;487;438;414;493;447;429;456;448;404;380;291;303;454;541;74;6;111;94
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;BAMBU APUS;10267;3.1652;10056;1214;1152;1274;1216;1286;1403;1325;1386;1442;1461;1376;1328;1147;1146;1029;926;745;858;534;561;638;513;65;5;415;151
2019;PROVINSI DKI JAKARTA;JAKARTA SELATAN;MAMPANG PRAPATAN;BANGKA;9046;3.2967;8036;965;964;1024;893;1000;1027;1020;1086;1220;1199;1148;1146;1061;1027;959;964;734;712;513;464;558;609;66;5;302;111
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;PASAR REBO;BARU;9046;1.8885;15667;1198;1061;1182;1039;1283;1255;1246;1323;1256;1435;1569;1376;1166;1003;749;861;644;564;432;391;438;438;79;10;478;115
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;BATU AMPAR;18692;2.55025;23222;2184;2154;2159;2211;2132;2232;2310;2510;2792;2902;2601;2684;2253;2228;1805;1709;1290;1404;903;968;1316;1339;86;6;754;287
2019;PROVINSI DKI JAKARTA;JAKARTA PUSAT;TANAH ABANG;BENDUNGAN HILIR;9696;1.5816;17057;1073;1030;1051;947;1003;975;975;1022;1083;1116;1089;1092;1034;1109;995;985;847;827;520;530;689;1022;123;9;308;144
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;JATINEGARA;BIDARA CINA;15747;1.261;35736;1688;1566;1730;1627;1721;1723;1733;1748;1990;2059;1896;1996;1772;1748;1643;1500;1233;1329;860;955;1061;1427;189;16;499;327
2019;PROVINSI DKI JAKARTA;JAKARTA SELATAN;PESANGGRAHAN;BINTARO;20577;4.555;14118;2659;2450;2361;2370;2281;2519;2450;2754;2917;3033;2794;2857;2582;2545;2223;1910;1457;1514;1093;1147;1511;1707;143;15;748;252
2019;PROVINSI DKI JAKARTA;JAKARTA SELATAN;TEBET;BUKIT DURI;14285;1.0701;39619;1587;1456;1677;1617;1579;1552;1588;1621;1779;1781;1747;1731;1638;1677;1492;1404;1183;1191;846;900;1091;1402;152;12;482;262
2019;PROVINSI DKI JAKARTA;JAKARTA PUSAT;SENEN;BUNGUR;8006;0.6264;36863;912;886;845;852;896;888;1022;900;987;986;921;876;872;808;762;752;605;617;451;488;681;841;129;10;269;133
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG BARAT;23977;6.1243;11894;2694;2481;2808;2694;2810;2805;3172;3149;3987;4114;3526;3661;2847;2697;2033;1793;1287;1204;837;863;916;815;107;10;969;256
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CAKUNG;CAKUNG TIMUR;23510;9.81038;7494;2537;2560;2802;2839;2925;2974;3273;3275;3908;3926;3213;3241;2662;2556;2118;1942;1377;1555;1174;1112;1286;1082;145;14;1039;294
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;KRAMAT JATI;CAWANG;13906;1.7904;22759;1443;1364;1457;1465;1600;1553;1724;1700;1960;1974;1807;1721;1625;1513;1307;1302;1063;1097;715;767;934;1090;121;12;466;193
2019;PROVINSI DKI JAKARTA;JAKARTA TIMUR;CIPAYUNG;CEGER;7432;3.626;6398;953;839;916;919;960;926;931;1008;1057;1112;1034;1033;879;811;713;671;483;501;371;390;463;453;39;5;321;116
2019;PROVINSI DKI JAKARTA;JAKARTA PUSAT;KEMAYORAN;CEMPAKA BARU;13975;0.9933;42499;1776;1683;1576;1567;1553;1565;1539;1601;1831;1836;1779;1836;1737;1644;1406;1367;981;963;674;714;1013;1310;138;10;562;291
2019;PROVINSI DKI JAKARTA;JAKARTA PUSAT;CEMPAKA PUTIH;CEMPAKA PUTIH BARAT;14823;1.2187;36746;1943;1822;1675;1626;1616;1625;1691;1638;1847;1880;1822;1927;1789;1801;1566;1517;1111;1159;799;838;1148;1458;152;13;545;242
